id,host_name,latitude,longitude,price,availability_30,number_of_reviews,minimum_nights,last_scraped,room_type,city,listing_date,listing_time
31840,Andrea,43.77709,11.25216,$103.00,16,148,1,2025-03-15,Private room,Florence,2025-03-15,00:00:00
32180,Cesare,43.76832,11.24348,$148.00,1,38,6,2025-03-16,Entire home/apt,Florence,2025-04-29,00:00:00
39115,Lorenzo,43.77525,11.25258,$53.00,9,83,2,2025-03-15,Private room,Florence,2025-03-15,00:00:00
39165,Lorenzo,43.77525,11.25258,$70.00,6,23,2,2025-03-15,Private room,Florence,2025-03-15,00:00:00
39822,Matilde,43.76742,11.24378,$82.00,0,32,4,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
43369,Apartments Florence,43.76944,11.26331,$206.00,0,8,3,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
44781,Rocco,43.76417541503906,11.24618434906006,$138.00,9,429,3,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
45606,Tarcisio,43.7728,11.23746,,0,441,5,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
46520,Andrea,43.77699,11.25216,$96.00,11,129,1,2025-03-15,Private room,Florence,2025-03-15,00:00:00
46523,Andrea,43.77704,11.25217,$75.00,9,274,1,2025-03-15,Private room,Florence,2025-03-15,00:00:00
46524,Andrea,43.777,11.25216,$104.00,15,127,1,2025-03-15,Private room,Florence,2025-04-30,00:00:00
47498,Darko,43.77386,11.25028,$50.00,6,533,1,2025-03-15,Private room,Florence,2025-03-15,00:00:00
48372,Lorenzo,43.77525,11.25258,$50.00,8,32,3,2025-03-15,Private room,Florence,2025-03-15,00:00:00
52543,Tarcisio,43.77175,11.2364,$60.00,0,219,6,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
339138,Giuseppe,43.77893,11.26936,$52.00,29,21,4,2025-03-15,Private room,Florence,2025-03-15,00:00:00
341907,Susanna,43.76957,11.26455,$60.00,0,229,2,2025-03-15,Entire home/apt,Florence,2025-04-30,00:00:00
343773,Chiara,43.77211,11.26442,$165.00,5,506,2,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
345815,Tommaso,43.81893,11.28034,,0,1,31,2025-03-15,Entire home/apt,Florence,2025-04-29,00:00:00
346237,Simone,43.77133,11.31963,$132.00,20,30,5,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
346238,Simone,43.77119,11.31819,$115.00,17,30,6,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
346239,Simone,43.77149,11.31847,$115.00,14,39,5,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
347062,Filippo,43.77217,11.23438,$239.00,8,16,1,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
351439,Roberta & Stefano,43.76779,11.25987,$167.00,9,259,3,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
52545,Tarcisio,43.77164,11.23819,,0,218,6,2025-03-15,Entire home/apt,Florence,2025-04-29,00:00:00
57542,Elly,43.77236,11.24787,$122.00,3,147,3,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
57644,Francesco,43.77713,11.26182,$135.00,6,130,3,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
57767,Francesco,43.76728,11.25066,$233.00,4,153,2,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
354097,Ulrika,43.76196,11.24245,$152.00,23,183,2,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
354112,Ulrika,43.76196,11.24245,$171.00,28,80,2,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
359054,Ulrika,43.76196,11.24245,$144.00,22,96,2,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
359058,Ulrika,43.76196,11.24245,$175.00,18,62,2,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
367374,Ulrika,43.76196,11.24245,$209.00,17,93,2,2025-03-15,Entire home/apt,Florence,2025-04-29,00:00:00
367427,Ulrika,43.76196,11.24245,$121.00,10,79,2,2025-03-15,Entire home/apt,Florence,2025-03-15,00:00:00
