id,host_name,latitude,longitude,price,availability_30,number_of_reviews,minimum_nights,last_scraped,room_type,city,listing_date,listing_time
21853,Abdel,40.40381,-3.7413,$29.00,0,33,4,2025-03-11,Private room,Madrid,2025-04-30,00:00:00
30320,Dana,40.41476,-3.70418,,0,172,5,2025-03-10,Entire home/apt,Madrid,2025-03-10,00:00:00
30959,Angela,40.41259,-3.70105,,0,8,3,2025-03-10,Entire home/apt,Madrid,2025-03-10,00:00:00
40916,Dana,40.42247,-3.70577,,0,49,5,2025-03-10,Entire home/apt,Madrid,2025-03-10,00:00:00
62423,Arturo,40.41884,-3.69655,$77.00,12,227,1,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
70059,Diana,40.42381,-3.71038,$66.00,16,61,15,2025-03-06,Entire home/apt,Madrid,2025-04-29,00:00:00
70310,Raquel,40.42252,-3.7025,$89.00,25,29,30,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
72150,Vin,40.4115,-3.70449,$173.00,20,126,3,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
82481,Mercedes,40.42342,-3.68123,,0,105,3,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
84719,Felipe,40.40866,-3.70374,$72.00,14,184,7,2025-03-08,Entire home/apt,Madrid,2025-04-30,00:00:00
86042,Vin,40.40939,-3.69812,$189.00,24,222,3,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
595055,Teresa,40.39523,-3.7132,$20.00,0,19,2,2025-03-06,Private room,Madrid,2025-04-29,00:00:00
598771,Miguel,40.40661,-3.6952,$94.00,5,100,3,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
599134,Lara,40.41596,-3.70846,,0,7,30,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
605339,Ivaylo,40.40743,-3.74293,$35.00,14,280,3,2025-03-05,Private room,Madrid,2025-03-05,00:00:00
608742,Cristina,40.41744,-3.70873,$89.00,7,688,2,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
610675,María,40.41769,-3.69974,,0,7,3,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
616027,Sonia,40.43922,-3.67574,,0,74,1,2025-03-07,Private room,Madrid,2025-04-30,00:00:00
618576,Cristina,40.41771,-3.70925,$90.00,0,498,2,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
625566,Ainhoa,40.40349,-3.70418,,0,25,2,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
100411,Diana,40.50044,-3.67032,,0,3,2,2025-03-10,Entire home/apt,Madrid,2025-03-10,00:00:00
102040,Carlos Alberto,40.43422,-3.64196,,0,0,3,2025-03-10,Private room,Madrid,2025-04-30,00:00:00
114854,Maria,40.4382,-3.69389,$87.00,0,183,2,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
136058,Cinthia,40.35761,-3.69723,$24.00,0,97,1,2025-03-05,Private room,Madrid,2025-03-05,00:00:00
163429,Sonia,40.43765,-3.70408,,27,8,90,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
167183,Consuelo,40.45575,-3.64912,$86.00,27,45,1,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
196197,Meyling,40.41235,-3.70967,$82.00,6,468,3,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
198296,Santi,40.42589,-3.70565,$170.00,8,82,2,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
199016,Santi,40.4257,-3.70383,$48.00,20,58,3,2025-03-06,Private room,Madrid,2025-03-06,00:00:00
628394,Pullover,40.41730117797852,-3.702075958251953,$351.00,12,85,2,2025-03-10,Entire home/apt,Madrid,2025-03-10,00:00:00
631737,Esther,40.47143,-3.6748,,0,1,3,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
643471,Juan Jesus,40.41256,-3.70373,,0,48,5,2025-03-07,Private room,Madrid,2025-04-29,00:00:00
644656,Lili,40.42432,-3.6399,$35.00,0,4,7,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
655514,Lili,40.42432,-3.6399,$30.00,0,5,4,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
663761,Fran&Joni,40.37093,-3.62298,,0,4,1,2025-03-10,Private room,Madrid,2025-03-10,00:00:00
668753,Iguacel,40.43287,-3.7007,$46.00,2,81,4,2025-03-07,Private room,Madrid,2025-03-07,00:00:00
683969,KMitocondria,40.37609,-3.74279,,0,0,1,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
684564,Xavier,40.41747,-3.70979,$229.00,29,171,2,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
689099,Mercedes,40.47444,-3.67135,,0,15,1,2025-03-07,Private room,Madrid,2025-03-07,00:00:00
199201,Henrietta,40.41319,-3.7024,$120.00,5,209,3,2025-03-06,Private room,Madrid,2025-04-30,00:00:00
200828,Maite,40.43201,-3.68358,,0,0,14,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
204570,Alex,40.4152,-3.69668,$177.00,0,105,12,2025-03-12,Entire home/apt,Madrid,2025-04-29,00:00:00
