id,host_name,latitude,longitude,price,availability_30,number_of_reviews,minimum_nights,last_scraped,room_type,city,listing_date,listing_time
18674,Mireia  Maria,41.40556,2.17262,$179.00,12,45,1,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
23197,Etain (Marnie),41.41243172529066,2.219750335269476,$251.00,0,82,3,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
32711,Nick,41.40566,2.17015,$104.00,15,143,1,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
34241,Andres,41.38062,2.17517,$157.00,24,25,31,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
34981,Andres,41.37978,2.17623,$401.00,2,256,5,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
36763,Ester,41.38043,2.19094,$46.00,29,108,31,2025-03-10,Private room,Barcelona,2025-03-10,00:00:00
40983,Joaquin,41.39631,2.16832,$149.00,1,364,2,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
41952,Teresa,41.40568,2.16943,$199.00,19,102,3,2025-03-06,Entire home/apt,Barcelona,2025-04-29,00:00:00
320506,The Loft,41.37195,2.16936,$122.00,5,75,4,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
323854,Alberto,41.40843,2.17494,,0,21,1,2025-03-06,Private room,Barcelona,2025-04-29,00:00:00
330723,Morpheus Stays X JuanMi,41.37571,2.17118,$21.00,0,56,31,2025-03-06,Private room,Barcelona,2025-04-29,00:00:00
330745,Robert,41.38777,2.19601,$220.00,0,17,31,2025-03-12,Entire home/apt,Barcelona,2025-03-12,00:00:00
330766,Virginia,41.39076,2.17503,$123.00,0,292,5,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
330957,Phil And Fiona,41.39782414629114,2.170576755958843,$159.00,17,670,2,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
337755,Marc,41.39253234863281,2.19325590133667,$172.00,30,80,1,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
341563,Acomodis Apartments,41.3826,2.13075,$160.00,30,1,32,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
343861,Silvia & Luís,41.39993,2.16536,$147.00,8,47,3,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
49968,Nick,41.4057,2.17016,$126.00,10,126,1,2025-03-05,Entire home/apt,Barcelona,2025-04-30,00:00:00
58512,Cristina,41.41129,2.18193,$139.00,1,401,3,2025-03-12,Entire home/apt,Barcelona,2025-03-12,00:00:00
68547,Audun,41.3806,2.17796,$162.00,30,93,31,2025-03-05,Entire home/apt,Barcelona,2025-04-29,00:00:00
71520,Ariadna,41.41841,2.13307,$315.00,0,1,5,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
71553,Watermelon Barcelona Apartments,41.39705,2.17469,$162.00,12,84,3,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
71736,Nacharosa,41.38174,2.16663,$70.00,30,10,31,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
72436,Xavier,41.39909,2.20733,$173.00,29,935,1,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
72793,Nacharosa,41.38104,2.16565,$69.00,1,1,31,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
343864,Silvia & Luís,41.40735,2.15885,$151.00,16,54,3,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
343866,Silvia & Luís,41.40399,2.15565,$171.00,7,144,3,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
345129,Lucia,41.38512,2.17129,,0,32,31,2025-03-10,Private room,Barcelona,2025-04-30,00:00:00
346018,Filippo,41.3922,2.18805,$81.00,0,17,15,2025-03-05,Private room,Barcelona,2025-03-05,00:00:00
347824,Acomodis Apartments,41.3764,2.19102,$174.00,30,3,2,2025-03-05,Entire home/apt,Barcelona,2025-04-30,00:00:00
351395,Jaume,41.39271,2.17974,$167.00,0,101,1,2025-03-10,Entire home/apt,Barcelona,2025-03-10,00:00:00
352772,Fidel,41.38184,2.15119,$207.00,14,260,2,2025-03-10,Entire home/apt,Barcelona,2025-03-10,00:00:00
353640,Marta,41.38422,2.18412,,6,193,1,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
72794,Nacharosa,41.38214,2.16568,$48.00,30,7,31,2025-03-06,Entire home/apt,Barcelona,2025-04-30,00:00:00
73683,Nick,41.40554,2.17017,$279.00,10,233,1,2025-03-06,Entire home/apt,Barcelona,2025-04-29,00:00:00
75411,Mireia,41.40682,2.18649,$146.00,12,113,3,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
80004,Xavier,41.37371,2.16706,$117.00,0,199,5,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
83283,Wonderful Barcelona,41.38237,2.16146,,18,134,3,2025-03-11,Private room,Barcelona,2025-03-11,00:00:00
357576,Silvia,41.40508,2.15491,$218.00,5,483,2,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
