id,host_name,latitude,longitude,price,availability_30,number_of_reviews,minimum_nights,last_scraped,room_type,city,listing_date,listing_time
45026,Christine,50.82677,4.34987,$64.00,0,143,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
48180,Ahmet,50.83771,4.40707,$200.00,30,0,2,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
52796,Pierre,50.83362,4.36057,$83.00,6,129,5,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
80257,Kristella/Francesco,50.83992,4.33636,$90.00,20,10,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
80320,Kristella/Francesco,50.83992,4.33636,$102.00,19,75,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
80373,Kristella/Francesco,50.83992,4.33636,$88.00,12,19,1,2025-03-16,Entire home/apt,Brussels,2025-04-29,00:00:00
96293,Kristella/Francesco,50.84053,4.3363,$167.00,19,56,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
96642,Kristella/Francesco,50.83992,4.33636,$88.00,6,28,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
96694,Kristella/Francesco,50.83992,4.33636,$97.00,11,49,1,2025-03-16,Entire home/apt,Brussels,2025-04-29,00:00:00
97740,Benoît,50.87048,4.37904,$81.00,0,3,2,2025-03-16,Hotel room,Brussels,2025-03-16,00:00:00
97768,Françoise,50.80688,4.33337,$60.00,0,2,92,2025-03-16,Private room,Brussels,2025-04-29,00:00:00
106677,Françoise,50.80657,4.33571,$66.00,27,1,92,2025-03-16,Entire home/apt,Brussels,2025-04-30,00:00:00
118707,Kristella/Francesco,50.83992,4.33636,$100.00,20,49,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
130097,Pascal,50.84581,4.35008,$112.00,6,258,2,2025-03-16,Hotel room,Brussels,2025-03-16,00:00:00
134357,Kristella/Francesco,50.83992,4.33636,$91.00,9,26,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
134361,Kristella/Francesco,50.83992,4.33636,$97.00,11,42,1,2025-03-16,Entire home/apt,Brussels,2025-04-29,00:00:00
134504,Kristella/Francesco,50.83992,4.33636,$110.00,16,29,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
148114,Kristella/Francesco,50.83992,4.33636,$110.00,16,15,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
148797,Grégoire,50.83063,4.38619,$171.00,0,21,5,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
166510,RAS Residence,50.84603,4.37422,$181.00,19,11,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
196623,Sylvain,50.84,4.33689,$102.00,6,216,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
200385,Daan,50.8264,4.34247,$109.00,5,524,2,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
268652,Luc,50.852,4.34017,$83.00,0,390,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
269844,Elena,50.84584,4.37564,$118.00,20,156,2,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
293138,RAS Residence,50.84603,4.37422,$157.00,7,62,1,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
293230,RAS Residence,50.84603,4.37422,$186.00,18,47,1,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
293280,RAS Residence,50.84603,4.37422,$144.00,10,104,1,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
293281,RAS Residence,50.84603,4.37422,,14,124,1,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
302472,Ariane,50.81523,4.35168,$120.00,28,7,5,2025-03-16,Entire home/apt,Brussels,2025-04-30,00:00:00
348575,Marcelo,50.84902,4.3653,$120.00,0,235,6,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
348607,Marcelo,50.84731,4.36337,$86.00,14,218,15,2025-03-16,Entire home/apt,Brussels,2025-04-29,00:00:00
378953,Vincent,50.86206,4.4274,$50.00,0,70,3,2025-03-16,Private room,Brussels,2025-04-29,00:00:00
378955,Vincent,50.8619,4.42555,$64.00,0,21,14,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
405932,Jacques & Françoise,50.82071,4.35525,$64.00,2,160,2,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
441012,Elvira Anna Elisabetta,50.81568,4.33865,$58.00,16,111,3,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
443355,Veronica,50.83212,4.34993,$42.00,6,18,25,2025-03-16,Private room,Brussels,2025-04-30,00:00:00
448217,Anne,50.82862,4.35048,$60.00,4,635,3,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
489081,Veronica,50.83131,4.34995,$130.00,0,12,10,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
510929,Carine,50.85411,4.37615,$41.00,14,401,4,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
623192,Amélie,50.84387,4.34906,$68.00,7,274,4,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
659834,Hervé,50.84724,4.34033,$77.00,20,127,3,2025-03-16,Entire home/apt,Brussels,2025-04-30,00:00:00
666495,Jeroen,50.83392,4.32795,$65.00,0,35,2,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
678139,Laetitia,50.83195,4.36246,,6,62,10,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
688398,Adam,50.83202,4.34506,,0,119,5,2025-03-16,Entire home/apt,Brussels,2025-04-30,00:00:00
701220,Isabelle,50.81891,4.32694,$80.00,10,20,5,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
702465,Patrick,50.84114,4.3364,,0,227,4,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
746595,Hugues,50.821,4.32819,$136.00,6,191,2,2025-03-16,Entire home/apt,Brussels,2025-04-29,00:00:00
753573,Madeleine,50.84868,4.38655,$58.00,3,260,1,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
785852,Luna,50.85042,4.34298,$58.00,0,10,3,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
796035,Helena,50.82321,4.35766,$123.00,20,21,2,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
807834,Bernard,50.83831,4.35072,$85.00,2,1061,5,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
811507,Benedetta,50.84499,4.37696,$50.00,6,29,6,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
820940,Laurent,50.86173629760742,4.328306198120117,,2,68,3,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
831325,Marielle,50.83427,4.36366,$41.00,12,42,2,2025-03-16,Private room,Brussels,2025-04-30,00:00:00
845565,Isabelle,50.80443,4.43546,$130.00,0,1,15,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
845573,Isabelle,50.80243,4.43593,$120.00,16,2,15,2025-03-16,Entire home/apt,Brussels,2025-04-29,00:00:00
847618,Mireille,50.8901,4.34212,$64.00,0,8,14,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
856337,Maria,50.85584,4.30829,$52.00,30,93,1,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
870791,Lies,50.83153,4.37339,$34.00,0,99,3,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
871638,Jacques & Janine,50.87589,4.39696,$40.00,0,286,28,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
877917,Fabrice,50.84867,4.34381,$189.00,6,113,3,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
888251,Pascale,50.83633,4.36049,$28.00,1,75,90,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
904954,Marie-Luce,50.82291,4.35978,$124.00,0,132,6,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
933649,Odile And François,50.81143,4.39497,$180.00,0,59,7,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
938771,Eve,50.87224,4.34684,,6,329,3,2025-03-16,Entire home/apt,Brussels,2025-04-29,00:00:00
952213,Luca,50.85504,4.36895,$83.00,10,522,3,2025-03-16,Entire home/apt,Brussels,2025-04-29,00:00:00
956076,Martine,50.81678,4.343,$68.00,14,157,2,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
957524,Carine And Her Son,50.85397,4.37615,$78.00,0,432,4,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
964913,Julien,50.83335,4.40382,$64.00,2,231,2,2025-03-16,Entire home/apt,Brussels,2025-04-30,00:00:00
967338,Martine,50.8478,4.43279,$35.00,0,5,21,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
972913,Valerio,50.82587,4.36428,$188.00,0,192,14,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
992573,Vincent,50.86149,4.42712,$59.00,28,118,3,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
992623,Julien,50.83122,4.40322,$61.00,0,165,2,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
1039139,Stefan,50.84716,4.34013,,0,491,3,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
1047270,Hernan,50.82544,4.3656,$89.00,0,109,2,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
1050095,Julien,50.8314,4.40378,$57.00,0,70,2,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
1080200,Filip,50.83732,4.33809,$59.00,0,708,5,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
1101677,Luca,50.85416,4.36871,$48.00,19,234,3,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
1109501,Marianne,50.78369,4.33299,$30.00,10,219,2,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
1120653,Marcia,50.78351,4.34322,$87.00,29,21,2,2025-03-16,Private room,Brussels,2025-03-16,00:00:00
1139899,Yves,50.80422,4.31804,$38.00,9,13,92,2025-03-16,Entire home/apt,Brussels,2025-03-16,00:00:00
1155898,Yves,50.80443,4.31996,$38.00,0,5,92,2025-03-16,Entire home/apt,Brussels,2025-04-30,00:00:00
